Execution Date,User Story,Test Case ID,LOB,Execution Status,Defect ID,Defect Description,Defect Type,Defect Status,Severity,Priority
04/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
05/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
06/02/25,Global Nav,TC_001,M&R,Fail,D_1395,Environment Issue detected in M&R module.,Automation,Deferred,Medium,P4
07/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
08/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
09/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
10/02/25,Global Nav,TC_001,M&R,Fail,D_1985,Environment Issue detected in M&R module.,Manual,In Progress,High,P2
11/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
12/02/25,Global Nav,TC_001,M&R,Fail,D_1053,Automation Script Issue detected in M&R module.,Automation,In Progress,Critical,P1
13/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
14/02/25,Global Nav,TC_001,M&R,Fail,D_1874,Requirement Gap detected in M&R module.,Manual,Deferred,,
15/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
16/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
17/02/25,Global Nav,TC_001,M&R,Fail,D_1921,Test Data Issue detected in M&R module.,Automation,Open,,
18/02/25,Global Nav,TC_001,M&R,Fail,D_1048,Test Data Issue detected in M&R module.,Manual,Deferred,,
19/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
20/02/25,Global Nav,TC_001,M&R,Fail,D_1451,Test Data Issue detected in M&R module.,Automation,In Progress,High,P2
21/02/25,Global Nav,TC_001,M&R,Fail,D_1983,Automation Script Issue detected in M&R module.,Automation,Open,Medium,P3
22/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
23/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
24/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
25/02/25,Global Nav,TC_001,M&R,Fail,D_1353,Requirement Gap detected in M&R module.,Automation,Open,Critical,P4
26/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
27/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
28/02/25,Global Nav,TC_001,M&R,Pass,,,,,,
01/03/25,Global Nav,TC_001,M&R,Pass,,,,,,
02/03/25,Global Nav,TC_001,M&R,Pass,,,,,,
03/03/25,Global Nav,TC_001,M&R,Fail,D_1603,Test Data Issue detected in M&R module.,Automation,Closed,Medium,P4
04/03/25,Global Nav,TC_001,M&R,Pass,,,,,,
05/03/25,Global Nav,TC_001,M&R,Pass,,,,,,
15/12/24,Global Nav,TC_002,E&I,Pass,,,,,,
16/12/24,Global Nav,TC_002,E&I,Pass,,,,,,
17/12/24,Global Nav,TC_002,E&I,Pass,,,,,,
18/12/24,Global Nav,TC_002,E&I,Pass,,,,,,
19/12/24,Global Nav,TC_002,E&I,Pass,,,,,,
20/12/24,Global Nav,TC_002,E&I,Fail,D_1812,Test Data Issue detected in E&I module.,Manual,In Progress,High,P2
21/12/24,Global Nav,TC_002,E&I,Fail,D_1483,Requirement Gap detected in E&I module.,Automation,Deferred,,
22/12/24,Global Nav,TC_002,E&I,Pass,,,,,,
23/12/24,Global Nav,TC_002,E&I,Fail,D_1495,Test Data Issue detected in E&I module.,Manual,In Progress,High,P2
24/12/24,Global Nav,TC_002,E&I,Fail,D_1604,Requirement Gap detected in E&I module.,Manual,In Progress,Medium,P3
25/12/24,Global Nav,TC_002,E&I,Fail,D_1586,Test Data Issue detected in E&I module.,Manual,In Progress,Medium,P4
26/12/24,Global Nav,TC_002,E&I,Pass,,,,,,
27/12/24,Global Nav,TC_002,E&I,Fail,D_1800,Automation Script Issue detected in E&I module.,Automation,In Progress,,
28/12/24,Global Nav,TC_002,E&I,Pass,,,,,,
29/12/24,Global Nav,TC_002,E&I,Pass,,,,,,
30/12/24,Global Nav,TC_002,E&I,Pass,,,,,,
31/12/24,Global Nav,TC_002,E&I,Pass,,,,,,
01/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
02/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
03/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
04/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
05/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
06/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
07/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
08/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
09/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
10/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
11/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
12/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
13/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
14/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
15/01/25,Global Nav,TC_002,E&I,Fail,D_1556,Environment Issue detected in E&I module.,Automation,In Progress,,
16/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
17/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
18/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
19/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
20/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
21/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
22/01/25,Global Nav,TC_002,E&I,Fail,D_1187,Code Issue detected in E&I module.,Automation,Closed,Medium,P3
23/01/25,Global Nav,TC_002,E&I,Fail,D_1076,Test Data Issue detected in E&I module.,Manual,Open,Medium,P3
24/01/25,Global Nav,TC_002,E&I,Fail,D_1458,Test Data Issue detected in E&I module.,Manual,Deferred,,
25/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
26/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
27/01/25,Global Nav,TC_002,E&I,Fail,D_1640,Requirement Gap detected in E&I module.,Automation,Deferred,High,P2
28/01/25,Global Nav,TC_002,E&I,Fail,D_1623,Automation Script Issue detected in E&I module.,Automation,Open,Medium,P3
29/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
30/01/25,Global Nav,TC_002,E&I,Fail,D_1461,Environment Issue detected in E&I module.,Automation,Open,,
31/01/25,Global Nav,TC_002,E&I,Pass,,,,,,
01/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
02/02/25,Global Nav,TC_002,E&I,Fail,D_1293,Requirement Gap detected in E&I module.,Automation,In Progress,Medium,P3
03/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
04/02/25,Global Nav,TC_002,E&I,Fail,D_1432,Environment Issue detected in E&I module.,Manual,Open,Critical,P4
05/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
06/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
07/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
08/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
09/02/25,Global Nav,TC_002,E&I,Fail,D_1111,Test Data Issue detected in E&I module.,Automation,Closed,,
10/02/25,Global Nav,TC_002,E&I,Fail,D_1833,Automation Script Issue detected in E&I module.,Automation,Closed,High,P2
11/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
12/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
13/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
14/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
15/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
16/02/25,Global Nav,TC_002,E&I,Fail,D_1670,Code Issue detected in E&I module.,Manual,Deferred,,
17/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
18/02/25,Global Nav,TC_002,E&I,Fail,D_1394,Automation Script Issue detected in E&I module.,Manual,Open,Critical,P1
19/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
20/02/25,Global Nav,TC_002,E&I,Fail,D_1399,Code Issue detected in E&I module.,Manual,Open,,
21/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
22/02/25,Global Nav,TC_002,E&I,Fail,D_1287,Test Data Issue detected in E&I module.,Automation,Open,,
23/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
24/02/25,Global Nav,TC_002,E&I,Fail,D_1475,Requirement Gap detected in E&I module.,Manual,Deferred,,
25/02/25,Global Nav,TC_002,E&I,Fail,D_1912,Test Data Issue detected in E&I module.,Automation,Closed,Medium,P3
26/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
27/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
28/02/25,Global Nav,TC_002,E&I,Pass,,,,,,
01/03/25,Global Nav,TC_002,E&I,Pass,,,,,,
02/03/25,Global Nav,TC_002,E&I,Pass,,,,,,
03/03/25,Global Nav,TC_002,E&I,Pass,,,,,,
04/03/25,Global Nav,TC_002,E&I,Pass,,,,,,
05/03/25,Global Nav,TC_002,E&I,Fail,D_1176,Code Issue detected in E&I module.,Manual,Deferred,,
15/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
16/12/24,Global Nav,TC_003,C&I,Fail,D_1563,Code Issue detected in C&I module.,Manual,Closed,Medium,P3
17/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
18/12/24,Global Nav,TC_003,C&I,Fail,D_1238,Requirement Gap detected in C&I module.,Automation,Deferred,,
19/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
20/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
21/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
22/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
23/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
24/12/24,Global Nav,TC_003,C&I,Fail,D_1619,Requirement Gap detected in C&I module.,Automation,Closed,Medium,P3
25/12/24,Global Nav,TC_003,C&I,Fail,D_1438,Requirement Gap detected in C&I module.,Manual,Closed,Critical,P4
26/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
27/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
28/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
29/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
30/12/24,Global Nav,TC_003,C&I,Fail,D_1484,Test Data Issue detected in C&I module.,Manual,In Progress,Critical,P4
31/12/24,Global Nav,TC_003,C&I,Pass,,,,,,
01/01/25,Global Nav,TC_003,C&I,Fail,D_1751,Code Issue detected in C&I module.,Manual,Deferred,Critical,P4
02/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
03/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
04/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
05/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
06/01/25,Global Nav,TC_003,C&I,Fail,D_1461,Requirement Gap detected in C&I module.,Manual,In Progress,Critical,P4
07/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
08/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
09/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
10/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
11/01/25,Global Nav,TC_003,C&I,Fail,D_1645,Code Issue detected in C&I module.,Automation,Deferred,Medium,P3
12/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
13/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
14/01/25,Global Nav,TC_003,C&I,Fail,D_1870,Code Issue detected in C&I module.,Automation,In Progress,,
15/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
16/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
17/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
18/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
19/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
20/01/25,Global Nav,TC_003,C&I,Fail,D_1185,Environment Issue detected in C&I module.,Automation,In Progress,High,P2
21/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
22/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
23/01/25,Global Nav,TC_003,C&I,Fail,D_1422,Requirement Gap detected in C&I module.,Automation,Open,,
24/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
25/01/25,Global Nav,TC_003,C&I,Fail,D_1356,Code Issue detected in C&I module.,Manual,In Progress,Medium,P4
26/01/25,Global Nav,TC_003,C&I,Fail,D_1447,Environment Issue detected in C&I module.,Automation,Open,,
27/01/25,Global Nav,TC_003,C&I,Fail,D_1308,Requirement Gap detected in C&I module.,Automation,Closed,,
28/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
29/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
30/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
31/01/25,Global Nav,TC_003,C&I,Pass,,,,,,
01/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
02/02/25,Global Nav,TC_003,C&I,Fail,D_1990,Requirement Gap detected in C&I module.,Manual,In Progress,High,P2
03/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
04/02/25,Global Nav,TC_003,C&I,Fail,D_1214,Requirement Gap detected in C&I module.,Automation,In Progress,,
05/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
06/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
07/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
08/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
09/02/25,Global Nav,TC_003,C&I,Fail,D_1174,Requirement Gap detected in C&I module.,Automation,In Progress,,
10/02/25,Global Nav,TC_003,C&I,Fail,D_1150,Requirement Gap detected in C&I module.,Manual,In Progress,High,P2
11/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
12/02/25,Global Nav,TC_003,C&I,Fail,D_1824,Requirement Gap detected in C&I module.,Automation,In Progress,Medium,P4
13/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
14/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
15/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
16/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
17/02/25,Global Nav,TC_003,C&I,Fail,D_1334,Test Data Issue detected in C&I module.,Manual,Deferred,,
18/02/25,Global Nav,TC_003,C&I,Fail,D_1347,Code Issue detected in C&I module.,Automation,Open,,
19/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
20/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
21/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
22/02/25,Global Nav,TC_003,C&I,Fail,D_1181,Code Issue detected in C&I module.,Automation,Open,,
23/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
24/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
25/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
26/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
27/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
28/02/25,Global Nav,TC_003,C&I,Pass,,,,,,
01/03/25,Global Nav,TC_003,C&I,Pass,,,,,,
02/03/25,Global Nav,TC_003,C&I,Pass,,,,,,
03/03/25,Global Nav,TC_003,C&I,Fail,D_1264,Automation Script Issue detected in C&I module.,Manual,Closed,,
04/03/25,Global Nav,TC_003,C&I,Pass,,,,,,
05/03/25,Global Nav,TC_003,C&I,Fail,D_1299,Automation Script Issue detected in C&I module.,Manual,Deferred,,
15/12/24,Global Nav,TC_004,E&I,Fail,D_1168,Test Data Issue detected in E&I module.,Manual,In Progress,,
16/12/24,Global Nav,TC_004,E&I,Pass,,,,,,
17/12/24,Global Nav,TC_004,E&I,Pass,,,,,,
18/12/24,Global Nav,TC_004,E&I,Fail,D_1717,Requirement Gap detected in E&I module.,Manual,Closed,,
19/12/24,Global Nav,TC_004,E&I,Pass,,,,,,
20/12/24,Global Nav,TC_004,E&I,Fail,D_1681,Requirement Gap detected in E&I module.,Automation,In Progress,,
21/12/24,Global Nav,TC_004,E&I,Pass,,,,,,
22/12/24,Global Nav,TC_004,E&I,Pass,,,,,,
23/12/24,Global Nav,TC_004,E&I,Pass,,,,,,
24/12/24,Global Nav,TC_004,E&I,Fail,D_1910,Environment Issue detected in E&I module.,Manual,In Progress,,
25/12/24,Global Nav,TC_004,E&I,Fail,D_1815,Requirement Gap detected in E&I module.,Manual,In Progress,,
26/12/24,Global Nav,TC_004,E&I,Pass,,,,,,
27/12/24,Global Nav,TC_004,E&I,Pass,,,,,,
28/12/24,Global Nav,TC_004,E&I,Fail,D_1622,Test Data Issue detected in E&I module.,Manual,In Progress,,
29/12/24,Global Nav,TC_004,E&I,Pass,,,,,,
30/12/24,Global Nav,TC_004,E&I,Pass,,,,,,
31/12/24,Global Nav,TC_004,E&I,Pass,,,,,,
01/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
02/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
03/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
04/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
05/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
06/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
07/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
08/01/25,Global Nav,TC_004,E&I,Fail,D_1716,Code Issue detected in E&I module.,Automation,In Progress,,
09/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
10/01/25,Global Nav,TC_004,E&I,Fail,D_1946,Environment Issue detected in E&I module.,Automation,Open,,
11/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
12/01/25,Global Nav,TC_004,E&I,Fail,D_1366,Automation Script Issue detected in E&I module.,Automation,In Progress,,
13/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
14/01/25,Global Nav,TC_004,E&I,Fail,D_1701,Environment Issue detected in E&I module.,Automation,Open,,
15/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
16/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
17/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
18/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
19/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
20/01/25,Global Nav,TC_004,E&I,Fail,D_1551,Requirement Gap detected in E&I module.,Automation,Deferred,,
21/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
22/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
23/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
24/01/25,Global Nav,TC_004,E&I,Fail,D_1317,Requirement Gap detected in E&I module.,Automation,Deferred,,
25/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
26/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
27/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
28/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
29/01/25,Global Nav,TC_004,E&I,Fail,D_1195,Automation Script Issue detected in E&I module.,Manual,In Progress,,
30/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
31/01/25,Global Nav,TC_004,E&I,Pass,,,,,,
01/02/25,Global Nav,TC_004,E&I,Fail,D_1550,Automation Script Issue detected in E&I module.,Manual,Open,,
02/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
03/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
04/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
05/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
06/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
07/02/25,Global Nav,TC_004,E&I,Fail,D_1704,Automation Script Issue detected in E&I module.,Manual,Deferred,,
08/02/25,Global Nav,TC_004,E&I,Fail,D_1597,Requirement Gap detected in E&I module.,Manual,In Progress,,
09/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
10/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
11/02/25,Global Nav,TC_004,E&I,Fail,D_1732,Test Data Issue detected in E&I module.,Manual,Closed,,
12/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
13/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
14/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
15/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
16/02/25,Global Nav,TC_004,E&I,Fail,D_1224,Test Data Issue detected in E&I module.,Automation,Open,,
17/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
18/02/25,Global Nav,TC_004,E&I,Fail,D_1290,Requirement Gap detected in E&I module.,Manual,Open,,
19/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
20/02/25,Global Nav,TC_004,E&I,Fail,D_1535,Test Data Issue detected in E&I module.,Automation,Closed,,
21/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
22/02/25,Global Nav,TC_004,E&I,Fail,D_1775,Test Data Issue detected in E&I module.,Manual,Deferred,,
23/02/25,Global Nav,TC_004,E&I,Fail,D_1290,Automation Script Issue detected in E&I module.,Automation,Deferred,,
24/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
25/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
26/02/25,Global Nav,TC_004,E&I,Fail,D_1177,Environment Issue detected in E&I module.,Automation,In Progress,,
27/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
28/02/25,Global Nav,TC_004,E&I,Pass,,,,,,
01/03/25,Global Nav,TC_004,E&I,Pass,,,,,,
02/03/25,Global Nav,TC_004,E&I,Pass,,,,,,
03/03/25,Global Nav,TC_004,E&I,Pass,,,,,,
04/03/25,Global Nav,TC_004,E&I,Fail,D_1036,Code Issue detected in E&I module.,Manual,Deferred,,
05/03/25,Global Nav,TC_004,E&I,Pass,,,,,,
15/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
16/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
17/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
18/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
19/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
20/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
21/12/24,Global Nav,TC_005,E&I,Fail,D_1706,Environment Issue detected in E&I module.,Automation,Deferred,,
22/12/24,Global Nav,TC_005,E&I,Fail,D_1780,Environment Issue detected in E&I module.,Automation,Closed,,
23/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
24/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
25/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
26/12/24,Global Nav,TC_005,E&I,Fail,D_1454,Requirement Gap detected in E&I module.,Automation,Open,,
27/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
28/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
29/12/24,Global Nav,TC_005,E&I,Fail,D_1076,Test Data Issue detected in E&I module.,Automation,Deferred,,
30/12/24,Global Nav,TC_005,E&I,Pass,,,,,,
31/12/24,Global Nav,TC_005,E&I,Fail,D_1109,Test Data Issue detected in E&I module.,Manual,Closed,,
01/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
02/01/25,Global Nav,TC_005,E&I,Fail,D_1186,Automation Script Issue detected in E&I module.,Automation,Closed,,
03/01/25,Global Nav,TC_005,E&I,Fail,D_1246,Environment Issue detected in E&I module.,Automation,In Progress,,
04/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
05/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
06/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
07/01/25,Global Nav,TC_005,E&I,Fail,D_1751,Code Issue detected in E&I module.,Manual,In Progress,,
08/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
09/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
10/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
11/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
12/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
13/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
14/01/25,Global Nav,TC_005,E&I,Fail,D_1514,Code Issue detected in E&I module.,Manual,Closed,,
15/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
16/01/25,Global Nav,TC_005,E&I,Pass,,,,,,
