Execution Date,User Story,Test Case ID,LOB,Execution Status,Defect ID,Defect Description,Defect Type,Defect Status,Test Case Name,Severity,Priority
2025-01-11,Global Nav,TC_001,M&R,Pass,D3066,Issue with environment in C&I,Environment,In Progress,Test Case 43,Medium,P1
2025-01-12,Global Nav,TC_001,M&R,Pass,D4204,Issue with data issue in E&I,Data Issue,In Progress,Test Case 69,Medium,P1
2025-01-13,Global Nav,TC_001,M&R,Fail,D_1826,Automation Script Issue detected in M&R module.,Automation,In Progress,Test Case 86,Critical,P3
2025-01-14,Global Nav,TC_001,M&R,Pass,D7689,Issue with data issue in C&I,Environment,Closed,Test Case 22,High,P3
2025-01-15,Global Nav,TC_001,M&R,Fail,D_1210,Code Issue detected in M&R module.,Manual,In Progress,Test Case 39,Critical,P1
2025-01-16,Global Nav,TC_001,M&R,Fail,D_1545,Test Data Issue detected in M&R module.,Automation,In Progress,Test Case 27,Critical,P2
2025-01-17,Global Nav,TC_001,M&R,Pass,D9715,Issue with data issue in M&R,Data Issue,Closed,Test Case 48,Medium,P3
2025-01-18,Global Nav,TC_001,M&R,Pass,D7669,Issue with environment in E&I,Data Issue,In Progress,Test Case 64,High,P1
2025-01-19,Global Nav,TC_001,M&R,Pass,D3066,Issue with ui element issue in E&I,Environment,Open,Test Case 34,High,P2
2025-01-20,Global Nav,TC_001,M&R,Pass,D8893,Issue with ui element issue in E&I,Environment,Open,Test Case 105,Critical,P3
2025-01-21,Global Nav,TC_001,M&R,Pass,D8392,Issue with environment in M&R,Data Issue,In Progress,Test Case 21,High,P3
2025-01-22,Global Nav,TC_001,M&R,Fail,D_1505,Requirement Gap detected in M&R module.,Automation,Open,Test Case 97,High,P3
2025-01-23,Global Nav,TC_001,M&R,Pass,D4279,Issue with data issue in C&I,Data Issue,In Progress,Test Case 50,High,P2
2025-01-24,Global Nav,TC_001,M&R,Pass,D6532,Issue with ui element issue in E&I,Environment,Closed,Test Case 111,Critical,P3
2025-01-25,Global Nav,TC_001,M&R,Pass,D4279,Issue with environment in E&I,Environment,Open,Test Case 32,Medium,P2
2025-01-26,Global Nav,TC_001,M&R,Pass,D6323,Issue with data issue in M&R,UI Element Issue,Closed,Test Case 57,Medium,P2
2025-01-27,Global Nav,TC_001,M&R,Pass,D9185,Issue with environment in E&I,Data Issue,In Progress,Test Case 98,Critical,P1
2025-01-28,Global Nav,TC_001,M&R,Pass,D8812,Issue with environment in M&R,UI Element Issue,Closed,Test Case 47,Critical,P3
2025-01-29,Global Nav,TC_001,M&R,Pass,D1621,Issue with data issue in M&R,Data Issue,In Progress,Test Case 117,Critical,P3
2025-01-30,Global Nav,TC_001,M&R,Pass,D9093,Issue with environment in E&I,Data Issue,Open,Test Case 30,Critical,P3
2025-01-31,Global Nav,TC_001,M&R,Pass,D3685,Issue with ui element issue in E&I,Environment,Open,Test Case 67,Medium,P3
2025-02-01,Global Nav,TC_001,M&R,Fail,D_1586,Code Issue detected in M&R module.,Manual,Open,Test Case 102,High,P2
2025-02-02,Global Nav,TC_001,M&R,Fail,D_1188,Requirement Gap detected in M&R module.,Automation,In Progress,Test Case 2,Critical,P2
2025-02-03,Global Nav,TC_001,M&R,Pass,D8400,Issue with ui element issue in E&I,Environment,In Progress,Test Case 110,Critical,P3
2025-02-04,Global Nav,TC_001,M&R,Pass,D9422,Issue with data issue in E&I,UI Element Issue,Open,Test Case 57,Medium,P4
2025-02-05,Global Nav,TC_001,M&R,Pass,D6323,Issue with ui element issue in M&R,Data Issue,Closed,Test Case 93,Medium,P4
2025-02-06,Global Nav,TC_001,M&R,Fail,D_1395,Environment Issue detected in M&R module.,Automation,Deferred,Test Case 110,Medium,P1
2025-02-07,Global Nav,TC_001,M&R,Pass,D3009,Issue with environment in C&I,Environment,Open,Test Case 44,Medium,P2
2025-02-08,Global Nav,TC_001,M&R,Pass,D6619,Issue with environment in M&R,UI Element Issue,Closed,Test Case 93,Critical,P4
2025-02-09,Global Nav,TC_001,M&R,Pass,D1621,Issue with ui element issue in C&I,Environment,Closed,Test Case 33,Critical,P3
2025-02-10,Global Nav,TC_001,M&R,Fail,D_1985,Environment Issue detected in M&R module.,Manual,In Progress,Test Case 105,High,P4
2025-02-11,Global Nav,TC_001,M&R,Pass,D9082,Issue with ui element issue in E&I,Data Issue,Closed,Test Case 18,Medium,P4
2025-02-12,Global Nav,TC_001,M&R,Fail,D_1053,Automation Script Issue detected in M&R module.,Automation,In Progress,Test Case 91,Medium,P4
2025-02-13,Global Nav,TC_001,M&R,Pass,D4727,Issue with environment in M&R,UI Element Issue,Open,Test Case 72,High,P1
2025-02-14,Global Nav,TC_001,M&R,Fail,D_1874,Requirement Gap detected in M&R module.,Manual,Deferred,Test Case 35,High,P4
2025-02-15,Global Nav,TC_001,M&R,Pass,D3213,Issue with data issue in E&I,UI Element Issue,Closed,Test Case 118,High,P4
2025-02-16,Global Nav,TC_001,M&R,Pass,D1373,Issue with data issue in M&R,Environment,Closed,Test Case 114,High,P3
2025-02-17,Global Nav,TC_001,M&R,Fail,D_1921,Test Data Issue detected in M&R module.,Automation,Open,Test Case 17,Medium,P3
2025-02-18,Global Nav,TC_001,M&R,Fail,D_1048,Test Data Issue detected in M&R module.,Manual,Deferred,Test Case 39,Critical,P3
2025-02-19,Global Nav,TC_001,M&R,Pass,D1972,Issue with ui element issue in C&I,Data Issue,Open,Test Case 70,High,P4
2025-02-20,Global Nav,TC_001,M&R,Fail,D_1451,Test Data Issue detected in M&R module.,Automation,In Progress,Test Case 20,Medium,P3
2025-02-21,Global Nav,TC_001,M&R,Fail,D_1983,Automation Script Issue detected in M&R module.,Automation,Open,Test Case 66,Critical,P3
2025-02-22,Global Nav,TC_001,M&R,Pass,D3685,Issue with ui element issue in E&I,Environment,Open,Test Case 28,Critical,P2
2025-02-23,Global Nav,TC_001,M&R,Pass,D9376,Issue with data issue in C&I,Environment,Open,Test Case 32,Medium,P1
2025-02-24,Global Nav,TC_001,M&R,Pass,D8400,Issue with data issue in E&I,UI Element Issue,Open,Test Case 118,High,P3
2025-02-25,Global Nav,TC_001,M&R,Fail,D_1353,Requirement Gap detected in M&R module.,Automation,Open,Test Case 89,High,P3
2025-02-26,Global Nav,TC_001,M&R,Pass,D6323,Issue with environment in M&R,Environment,In Progress,Test Case 57,Critical,P4
2025-02-27,Global Nav,TC_001,M&R,Pass,D4279,Issue with ui element issue in M&R,Environment,Closed,Test Case 82,Critical,P1
2025-02-28,Global Nav,TC_001,M&R,Pass,D8281,Issue with ui element issue in M&R,Data Issue,Open,Test Case 88,High,P1
2025-03-01,Global Nav,TC_001,M&R,Pass,D3545,Issue with ui element issue in C&I,Data Issue,In Progress,Test Case 20,Medium,P2
2025-03-02,Global Nav,TC_001,M&R,Pass,D9082,Issue with environment in E&I,UI Element Issue,In Progress,Test Case 60,Critical,P4
2025-03-03,Global Nav,TC_001,M&R,Fail,D_1603,Test Data Issue detected in M&R module.,Automation,Closed,Test Case 44,Medium,P3
2025-03-04,Global Nav,TC_001,M&R,Pass,D3460,Issue with environment in M&R,Environment,Closed,Test Case 20,Medium,P2
2025-03-05,Global Nav,TC_001,M&R,Pass,D9422,Issue with environment in C&I,Environment,Open,Test Case 74,Critical,P3
2024-12-15,Global Nav,TC_002,E&I,Pass,D8281,Issue with ui element issue in E&I,UI Element Issue,Closed,Test Case 49,High,P1
2024-12-16,Global Nav,TC_002,E&I,Pass,D6532,Issue with ui element issue in C&I,UI Element Issue,Open,Test Case 43,Critical,P1
2024-12-17,Global Nav,TC_002,E&I,Pass,D8893,Issue with environment in M&R,UI Element Issue,Closed,Test Case 29,High,P2
2024-12-18,Global Nav,TC_002,E&I,Pass,D3685,Issue with ui element issue in E&I,Data Issue,In Progress,Test Case 57,Critical,P2
2024-12-19,Global Nav,TC_002,E&I,Pass,D9093,Issue with ui element issue in E&I,UI Element Issue,Open,Test Case 97,Critical,P2
2024-12-20,Global Nav,TC_002,E&I,Fail,D_1812,Test Data Issue detected in E&I module.,Manual,In Progress,Test Case 100,Critical,P4
2024-12-21,Global Nav,TC_002,E&I,Fail,D_1483,Requirement Gap detected in E&I module.,Automation,Deferred,Test Case 51,Critical,P2
2024-12-22,Global Nav,TC_002,E&I,Pass,D4279,Issue with environment in C&I,Environment,Closed,Test Case 101,High,P4
2024-12-23,Global Nav,TC_002,E&I,Fail,D_1495,Test Data Issue detected in E&I module.,Manual,In Progress,Test Case 51,High,P3
2024-12-24,Global Nav,TC_002,E&I,Fail,D_1604,Requirement Gap detected in E&I module.,Manual,In Progress,Test Case 21,High,P4
2024-12-25,Global Nav,TC_002,E&I,Fail,D_1586,Test Data Issue detected in E&I module.,Manual,In Progress,Test Case 63,Critical,P3
2024-12-26,Global Nav,TC_002,E&I,Pass,D9376,Issue with environment in M&R,UI Element Issue,Open,Test Case 54,Critical,P1
2024-12-27,Global Nav,TC_002,E&I,Fail,D_1800,Automation Script Issue detected in E&I module.,Automation,In Progress,Test Case 36,Medium,P2
2024-12-28,Global Nav,TC_002,E&I,Pass,D3460,Issue with environment in C&I,Data Issue,In Progress,Test Case 94,Critical,P2
2024-12-29,Global Nav,TC_002,E&I,Pass,D3066,Issue with ui element issue in E&I,UI Element Issue,In Progress,Test Case 113,Critical,P3
2024-12-30,Global Nav,TC_002,E&I,Pass,D8812,Issue with ui element issue in C&I,Environment,Open,Test Case 6,Medium,P2
2024-12-31,Global Nav,TC_002,E&I,Pass,D7689,Issue with environment in E&I,UI Element Issue,Open,Test Case 22,Critical,P4
2025-01-01,Global Nav,TC_002,E&I,Pass,D8400,Issue with environment in M&R,UI Element Issue,Closed,Test Case 110,Critical,P3
2025-01-02,Global Nav,TC_002,E&I,Pass,D4727,Issue with environment in C&I,UI Element Issue,Open,Test Case 92,Medium,P4
2025-01-03,Global Nav,TC_002,E&I,Pass,D1972,Issue with data issue in M&R,UI Element Issue,Open,Test Case 31,High,P4
2025-01-04,Global Nav,TC_002,E&I,Pass,D1889,Issue with environment in M&R,Data Issue,Open,Test Case 15,Medium,P1
2025-01-05,Global Nav,TC_002,E&I,Pass,D9376,Issue with data issue in M&R,UI Element Issue,Open,Test Case 32,Medium,P2
2025-01-06,Global Nav,TC_002,E&I,Pass,D1621,Issue with data issue in E&I,Environment,Open,Test Case 10,Critical,P4
2025-01-07,Global Nav,TC_002,E&I,Pass,D7558,Issue with data issue in E&I,Environment,Open,Test Case 52,Medium,P4
2025-01-08,Global Nav,TC_002,E&I,Pass,D5257,Issue with environment in C&I,Environment,In Progress,Test Case 10,Critical,P2
2025-01-09,Global Nav,TC_002,E&I,Pass,D6532,Issue with data issue in M&R,UI Element Issue,Open,Test Case 82,Medium,P3
2025-01-10,Global Nav,TC_002,E&I,Pass,D9422,Issue with ui element issue in M&R,UI Element Issue,Open,Test Case 42,High,P3
2025-01-11,Global Nav,TC_002,E&I,Pass,D9376,Issue with data issue in M&R,Environment,In Progress,Test Case 15,Medium,P2
2025-01-12,Global Nav,TC_002,E&I,Pass,D6606,Issue with environment in C&I,Data Issue,Open,Test Case 67,Critical,P2
2025-01-13,Global Nav,TC_002,E&I,Pass,D9082,Issue with ui element issue in E&I,UI Element Issue,Open,Test Case 6,Critical,P1
2025-01-14,Global Nav,TC_002,E&I,Pass,D6606,Issue with ui element issue in E&I,UI Element Issue,In Progress,Test Case 99,High,P3
2025-01-15,Global Nav,TC_002,E&I,Fail,D_1556,Environment Issue detected in E&I module.,Automation,In Progress,Test Case 89,Critical,P2
2025-01-16,Global Nav,TC_002,E&I,Pass,D8893,Issue with environment in M&R,Data Issue,Open,Test Case 85,High,P3
2025-01-17,Global Nav,TC_002,E&I,Pass,D4727,Issue with data issue in M&R,Environment,Closed,Test Case 11,High,P2
2025-01-18,Global Nav,TC_002,E&I,Pass,D6606,Issue with environment in E&I,UI Element Issue,Open,Test Case 15,Critical,P4
2025-01-19,Global Nav,TC_002,E&I,Pass,D9082,Issue with ui element issue in C&I,UI Element Issue,Closed,Test Case 50,High,P3
2025-01-20,Global Nav,TC_002,E&I,Pass,D6532,Issue with environment in E&I,UI Element Issue,Open,Test Case 25,Medium,P1
2025-01-21,Global Nav,TC_002,E&I,Pass,D3685,Issue with environment in E&I,UI Element Issue,Closed,Test Case 75,Medium,P1
2025-01-22,Global Nav,TC_002,E&I,Fail,D_1187,Code Issue detected in E&I module.,Automation,Closed,Test Case 23,Medium,P3
2025-01-23,Global Nav,TC_002,E&I,Fail,D_1076,Test Data Issue detected in E&I module.,Manual,Open,Test Case 117,Critical,P1
2025-01-24,Global Nav,TC_002,E&I,Fail,D_1458,Test Data Issue detected in E&I module.,Manual,Deferred,Test Case 46,Medium,P2
2025-01-25,Global Nav,TC_002,E&I,Pass,D6619,Issue with environment in E&I,UI Element Issue,In Progress,Test Case 40,Medium,P3
2025-01-26,Global Nav,TC_002,E&I,Pass,D8789,Issue with data issue in C&I,Environment,In Progress,Test Case 99,High,P2
2025-01-27,Global Nav,TC_002,E&I,Fail,D_1640,Requirement Gap detected in E&I module.,Automation,Deferred,Test Case 87,High,P2
2025-01-28,Global Nav,TC_002,E&I,Fail,D_1623,Automation Script Issue detected in E&I module.,Automation,Open,Test Case 4,High,P3
2025-01-29,Global Nav,TC_002,E&I,Pass,D8278,Issue with data issue in C&I,UI Element Issue,Open,Test Case 12,Critical,P1
2025-01-30,Global Nav,TC_002,E&I,Fail,D_1461,Environment Issue detected in E&I module.,Automation,Open,Test Case 108,Medium,P4
2025-01-31,Global Nav,TC_002,E&I,Pass,D9758,Issue with data issue in C&I,Data Issue,Closed,Test Case 6,Critical,P1
2025-02-01,Global Nav,TC_002,E&I,Pass,D1524,Issue with data issue in M&R,Environment,In Progress,Test Case 112,Critical,P4
2025-02-02,Global Nav,TC_002,E&I,Fail,D_1293,Requirement Gap detected in E&I module.,Automation,In Progress,Test Case 29,Critical,P1
2025-02-03,Global Nav,TC_002,E&I,Pass,D1889,Issue with data issue in E&I,Data Issue,Closed,Test Case 25,Medium,P3
2025-02-04,Global Nav,TC_002,E&I,Fail,D_1432,Environment Issue detected in E&I module.,Manual,Open,Test Case 89,Critical,P4
2025-02-05,Global Nav,TC_002,E&I,Pass,D9082,Issue with environment in E&I,Data Issue,Closed,Test Case 98,Medium,P3
2025-02-06,Global Nav,TC_002,E&I,Pass,D1889,Issue with data issue in C&I,UI Element Issue,Closed,Test Case 39,Medium,P4
2025-02-07,Global Nav,TC_002,E&I,Pass,D4727,Issue with ui element issue in C&I,UI Element Issue,Open,Test Case 59,High,P3
2025-02-08,Global Nav,TC_002,E&I,Pass,D6606,Issue with data issue in E&I,Environment,In Progress,Test Case 24,Critical,P1
2025-02-09,Global Nav,TC_002,E&I,Fail,D_1111,Test Data Issue detected in E&I module.,Automation,Closed,Test Case 22,Critical,P1
2025-02-10,Global Nav,TC_002,E&I,Fail,D_1833,Automation Script Issue detected in E&I module.,Automation,Closed,Test Case 90,High,P1
2025-02-11,Global Nav,TC_002,E&I,Pass,D1972,Issue with environment in C&I,UI Element Issue,Closed,Test Case 23,High,P2
2025-02-12,Global Nav,TC_002,E&I,Pass,D1972,Issue with environment in M&R,Data Issue,Open,Test Case 92,Medium,P1
2025-02-13,Global Nav,TC_002,E&I,Pass,D9093,Issue with ui element issue in E&I,Data Issue,Closed,Test Case 90,Critical,P1
2025-02-14,Global Nav,TC_002,E&I,Pass,D7689,Issue with environment in E&I,Data Issue,Open,Test Case 44,High,P3
2025-02-15,Global Nav,TC_002,E&I,Pass,D7669,Issue with data issue in M&R,UI Element Issue,Open,Test Case 44,Medium,P2
2025-02-16,Global Nav,TC_002,E&I,Fail,D_1670,Code Issue detected in E&I module.,Manual,Deferred,Test Case 68,Medium,P1
2025-02-17,Global Nav,TC_002,E&I,Pass,D4204,Issue with ui element issue in E&I,Environment,Open,Test Case 100,Critical,P2
2025-02-18,Global Nav,TC_002,E&I,Fail,D_1394,Automation Script Issue detected in E&I module.,Manual,Open,Test Case 93,High,P2
2025-02-19,Global Nav,TC_002,E&I,Pass,D8278,Issue with ui element issue in E&I,UI Element Issue,Closed,Test Case 15,Medium,P1
2025-02-20,Global Nav,TC_002,E&I,Fail,D_1399,Code Issue detected in E&I module.,Manual,Open,Test Case 56,Critical,P4
2025-02-21,Global Nav,TC_002,E&I,Pass,D8281,Issue with environment in E&I,Data Issue,Open,Test Case 62,High,P3
2025-02-22,Global Nav,TC_002,E&I,Fail,D_1287,Test Data Issue detected in E&I module.,Automation,Open,Test Case 106,Medium,P2
2025-02-23,Global Nav,TC_002,E&I,Pass,D9758,Issue with environment in E&I,Data Issue,In Progress,Test Case 115,Critical,P2
2025-02-24,Global Nav,TC_002,E&I,Fail,D_1475,Requirement Gap detected in E&I module.,Manual,Deferred,Test Case 85,Critical,P3
2025-02-25,Global Nav,TC_002,E&I,Fail,D_1912,Test Data Issue detected in E&I module.,Automation,Closed,Test Case 38,High,P4
2025-02-26,Global Nav,TC_002,E&I,Pass,D9185,Issue with ui element issue in C&I,Data Issue,Closed,Test Case 65,Critical,P1
2025-02-27,Global Nav,TC_002,E&I,Pass,D3213,Issue with ui element issue in C&I,Data Issue,In Progress,Test Case 34,High,P4
2025-02-28,Global Nav,TC_002,E&I,Pass,D1621,Issue with ui element issue in E&I,Environment,In Progress,Test Case 34,High,P3
2025-03-01,Global Nav,TC_002,E&I,Pass,D8812,Issue with environment in C&I,UI Element Issue,Open,Test Case 46,Critical,P3
2025-03-02,Global Nav,TC_002,E&I,Pass,D1373,Issue with environment in E&I,Data Issue,Closed,Test Case 100,High,P3
2025-03-03,Global Nav,TC_002,E&I,Pass,D3066,Issue with ui element issue in C&I,Environment,Open,Test Case 78,Medium,P2
2025-03-04,Global Nav,TC_002,E&I,Pass,D3213,Issue with environment in M&R,Environment,In Progress,Test Case 72,Critical,P4
2025-03-05,Global Nav,TC_002,E&I,Fail,D_1176,Code Issue detected in E&I module.,Manual,Deferred,Test Case 82,Medium,P2
2024-12-15,Global Nav,TC_003,C&I,Pass,D7689,Issue with ui element issue in C&I,Environment,In Progress,Test Case 104,Critical,P4
2024-12-16,Global Nav,TC_003,C&I,Fail,D_1563,Code Issue detected in C&I module.,Manual,Closed,Test Case 16,High,P1
2024-12-17,Global Nav,TC_003,C&I,Pass,D9715,Issue with ui element issue in M&R,Environment,Open,Test Case 53,High,P1
2024-12-18,Global Nav,TC_003,C&I,Fail,D_1238,Requirement Gap detected in C&I module.,Automation,Deferred,Test Case 104,High,P1
2024-12-19,Global Nav,TC_003,C&I,Pass,D1373,Issue with environment in E&I,UI Element Issue,Closed,Test Case 41,High,P4
2024-12-20,Global Nav,TC_003,C&I,Pass,D8281,Issue with data issue in C&I,Data Issue,Open,Test Case 49,Critical,P2
2024-12-21,Global Nav,TC_003,C&I,Pass,D9758,Issue with environment in C&I,Environment,Open,Test Case 111,Medium,P4
2024-12-22,Global Nav,TC_003,C&I,Pass,D3009,Issue with ui element issue in E&I,Data Issue,Closed,Test Case 95,Critical,P4
2024-12-23,Global Nav,TC_003,C&I,Pass,D3858,Issue with environment in E&I,Environment,In Progress,Test Case 2,High,P4
2024-12-24,Global Nav,TC_003,C&I,Fail,D_1619,Requirement Gap detected in C&I module.,Automation,Closed,Test Case 18,Critical,P2
2024-12-25,Global Nav,TC_003,C&I,Fail,D_1438,Requirement Gap detected in C&I module.,Manual,Closed,Test Case 22,Medium,P4
2024-12-26,Global Nav,TC_003,C&I,Pass,D8893,Issue with data issue in M&R,Environment,Closed,Test Case 71,Medium,P1
2024-12-27,Global Nav,TC_003,C&I,Pass,D1889,Issue with environment in C&I,Data Issue,Closed,Test Case 70,Critical,P1
2024-12-28,Global Nav,TC_003,C&I,Pass,D6619,Issue with environment in M&R,Environment,In Progress,Test Case 44,Medium,P2
2024-12-29,Global Nav,TC_003,C&I,Pass,D3685,Issue with ui element issue in E&I,Environment,Closed,Test Case 22,Critical,P2
2024-12-30,Global Nav,TC_003,C&I,Fail,D_1484,Test Data Issue detected in C&I module.,Manual,In Progress,Test Case 115,Critical,P1
2024-12-31,Global Nav,TC_003,C&I,Pass,D8415,Issue with data issue in E&I,Environment,Open,Test Case 72,Medium,P3
2025-01-01,Global Nav,TC_003,C&I,Fail,D_1751,Code Issue detected in C&I module.,Manual,Deferred,Test Case 104,Medium,P2
2025-01-02,Global Nav,TC_003,C&I,Pass,D1524,Issue with environment in C&I,Environment,Closed,Test Case 27,Critical,P1
2025-01-03,Global Nav,TC_003,C&I,Pass,D3858,Issue with environment in E&I,UI Element Issue,Open,Test Case 67,Medium,P4
2025-01-04,Global Nav,TC_003,C&I,Pass,D8812,Issue with ui element issue in C&I,Data Issue,Closed,Test Case 39,Critical,P4
2025-01-05,Global Nav,TC_003,C&I,Pass,D7669,Issue with environment in C&I,Data Issue,Closed,Test Case 25,High,P2
2025-01-06,Global Nav,TC_003,C&I,Fail,D_1461,Requirement Gap detected in C&I module.,Manual,In Progress,Test Case 9,High,P2
2025-01-07,Global Nav,TC_003,C&I,Pass,D3460,Issue with ui element issue in M&R,Data Issue,Closed,Test Case 71,Medium,P2
2025-01-08,Global Nav,TC_003,C&I,Pass,D9376,Issue with environment in M&R,UI Element Issue,Open,Test Case 116,Medium,P3
2025-01-09,Global Nav,TC_003,C&I,Pass,D1524,Issue with data issue in C&I,UI Element Issue,In Progress,Test Case 34,High,P2
2025-01-10,Global Nav,TC_003,C&I,Pass,D9082,Issue with ui element issue in M&R,Data Issue,Open,Test Case 18,High,P4
2025-01-11,Global Nav,TC_003,C&I,Fail,D_1645,Code Issue detected in C&I module.,Automation,Deferred,Test Case 24,Medium,P4
2025-01-12,Global Nav,TC_003,C&I,Pass,D8415,Issue with environment in M&R,Environment,In Progress,Test Case 1,Medium,P4
2025-01-13,Global Nav,TC_003,C&I,Pass,D5537,Issue with data issue in M&R,UI Element Issue,Open,Test Case 23,Medium,P2
2025-01-14,Global Nav,TC_003,C&I,Fail,D_1870,Code Issue detected in C&I module.,Automation,In Progress,Test Case 24,Medium,P4
2025-01-15,Global Nav,TC_003,C&I,Pass,D5257,Issue with ui element issue in M&R,Data Issue,In Progress,Test Case 25,Critical,P2
2025-01-16,Global Nav,TC_003,C&I,Pass,D9422,Issue with environment in C&I,UI Element Issue,Open,Test Case 84,Medium,P3
2025-01-17,Global Nav,TC_003,C&I,Pass,D9093,Issue with data issue in M&R,Environment,In Progress,Test Case 32,High,P1
2025-01-18,Global Nav,TC_003,C&I,Pass,D3685,Issue with data issue in C&I,UI Element Issue,In Progress,Test Case 89,Critical,P4
2025-01-19,Global Nav,TC_003,C&I,Pass,D8278,Issue with ui element issue in E&I,Environment,Open,Test Case 12,High,P4
2025-01-20,Global Nav,TC_003,C&I,Fail,D_1185,Environment Issue detected in C&I module.,Automation,In Progress,Test Case 100,High,P2
2025-01-21,Global Nav,TC_003,C&I,Pass,D8812,Issue with ui element issue in E&I,Environment,Closed,Test Case 50,High,P2
2025-01-22,Global Nav,TC_003,C&I,Pass,D8392,Issue with data issue in M&R,Data Issue,Closed,Test Case 68,High,P4
2025-01-23,Global Nav,TC_003,C&I,Fail,D_1422,Requirement Gap detected in C&I module.,Automation,Open,Test Case 99,Critical,P3
2025-01-24,Global Nav,TC_003,C&I,Pass,D3009,Issue with environment in C&I,Data Issue,Open,Test Case 60,Medium,P3
2025-01-25,Global Nav,TC_003,C&I,Fail,D_1356,Code Issue detected in C&I module.,Manual,In Progress,Test Case 100,Critical,P3
2025-01-26,Global Nav,TC_003,C&I,Fail,D_1447,Environment Issue detected in C&I module.,Automation,Open,Test Case 39,Medium,P3
2025-01-27,Global Nav,TC_003,C&I,Fail,D_1308,Requirement Gap detected in C&I module.,Automation,Closed,Test Case 107,High,P4
2025-01-28,Global Nav,TC_003,C&I,Pass,D1621,Issue with data issue in C&I,Data Issue,In Progress,Test Case 72,Critical,P4
2025-01-29,Global Nav,TC_003,C&I,Pass,D9093,Issue with ui element issue in E&I,Environment,In Progress,Test Case 72,High,P4
2025-01-30,Global Nav,TC_003,C&I,Pass,D3685,Issue with ui element issue in C&I,Data Issue,Open,Test Case 110,Medium,P2
